node,feature
0,1574
0,3773
0,3571
0,2672
0,2478
0,2534
0,3129
0,3077
0,1171
0,2045
0,1539
0,902
0,1532
0,2472
0,1122
0,2480
0,3098
0,2115
0,1578
1,1193
1,376
1,73
1,290
1,3129
1,1852
1,3077
1,1171
1,1022
1,2045
1,536
1,2040
1,1533
1,1532
1,2472
1,673
1,798
2,1574
2,3773
2,925
2,1728
2,2815
2,2963
2,3077
2,364
2,1171
2,536
2,1867
2,2472
2,1122
2,2532
2,664
2,28
2,3311
2,1768
2,869
3,3964
3,3773
3,4003
3,928
3,1852
3,3077
3,364
3,1022
3,3763
3,2045
3,3859
3,3771
3,234
3,664
3,703
4,1929
4,3773
4,1793
4,3511
4,1290
4,3129
4,3077
4,364
4,1171
4,1022
4,2045
4,536
4,1119
4,91
4,1532
4,3771
4,1122
4,703
4,1001
5,1574
5,3773
5,1793
5,2934
5,1088
5,2465
5,1618
5,1233
5,2282
5,2947
5,2211
5,1087
5,3129
5,1852
5,3077
5,1171
5,3763
5,2045
5,536
5,137
5,3849
5,1532
5,2472
5,2371
5,2266
5,703
6,3964
6,509
6,3214
6,581
6,364
6,1171
6,1022
6,3763
6,2045
6,1366
6,1532
6,2472
6,3794
6,3711
7,1193
7,1249
7,1663
7,819
7,1171
7,1022
7,2045
7,1026
7,2311
7,1532
7,2472
7,3794
7,664
7,703
8,1193
8,1051
8,3571
8,3129
8,1171
8,3763
8,2045
8,536
8,128
8,1532
8,3771
8,2371
8,2749
8,3827
8,2602
9,2657
9,1360
9,1793
9,1290
9,3129
9,1852
9,364
9,1022
9,2045
9,536
9,1927
9,3375
9,1532
9,3771
9,1348
9,1606
10,1000
10,3495
10,3214
10,3129
10,1852
10,364
10,1171
10,1022
10,2045
10,3942
10,1532
10,3771
10,3293
10,731
10,1837
10,2030
11,1929
11,1330
11,1793
11,3212
11,2453
11,2797
11,1301
11,1731
11,2070
11,3188
11,3860
11,847
11,3129
11,1852
11,3077
11,1171
11,3763
11,536
11,1968
11,1838
11,2472
11,1348
12,3964
12,333
12,1663
12,819
12,3129
12,1852
12,1171
12,1022
12,3763
12,536
12,2235
12,1532
12,3771
12,1348
12,506
12,776
12,1458
12,3178
12,727
12,1001
13,3730
13,1033
13,4003
13,958
13,1852
13,364
13,1022
13,3763
13,1539
13,2472
13,673
13,1466
13,399
14,2048
14,2566
14,73
14,1011
14,3129
14,3077
14,364
14,1171
14,1022
14,3763
14,2045
14,536
14,1452
14,1699
14,2515
14,3771
14,1122
15,2048
15,3997
15,3571
15,1022
15,3763
15,2045
15,69
15,2720
15,1532
15,2472
15,3293
15,2115
15,3108
15,35
15,1810
15,1258
15,703
15,3697
15,72
15,3534
15,1001
15,274
16,1574
16,3773
16,3214
16,3313
16,2986
16,1870
16,742
16,1233
16,3762
16,3291
16,88
16,1160
16,3077
16,364
16,1171
16,1022
16,1395
16,3262
16,1532
16,2472
16,3293
16,2556
16,487
16,3534
16,2129
16,1001
17,3730
17,3773
17,3214
17,149
17,2270
17,2665
17,3129
17,1852
17,3077
17,364
17,1171
17,3763
17,536
17,150
17,411
17,1532
17,3771
17,1348
17,1606
18,3730
18,1033
18,3104
18,3411
18,3129
18,1852
18,3077
18,364
18,3763
18,536
18,2628
18,411
18,1532
18,3771
18,1348
18,3480
18,496
19,2048
19,2527
19,3214
19,2990
19,3129
19,1852
19,3077
19,364
19,1171
19,2045
19,536
19,3652
19,2523
19,1532
19,2472
19,1122
19,731
19,2030
20,3433
20,3796
20,1695
20,420
20,3129
20,3077
20,364
20,1171
20,1022
20,3763
20,2045
20,169
20,1532
20,2472
20,1348
20,2655
21,2589
21,1800
21,3214
21,476
21,3129
21,1852
21,3077
21,364
21,1171
21,1022
21,3763
21,2045
21,536
21,1366
21,3399
21,1532
21,2472
21,3293
